reservoir_name,mae,rmse,mape_percent,r2_score,model_accuracy_percent
AMARAVATHI*,0.01,0.012,0.01,0.9989,99.99
Aliyar,0.0039,0.0057,0.0,0.9988,100.0
BHAVANISAGAR,0.0025,0.0043,0.0,0.9999,100.0
Harangi,0.3876,0.6158,0.39,0.2644,99.61
Hemavathy,0.0372,0.0578,0.04,0.9963,99.96
Kabini,0.0004,0.0006,0.0,0.9999,100.0
Krishna Raja Sagar,0.0007,0.0008,0.0,1.0,100.0
Krishnagiri,0.005,0.0064,0.01,0.9996,99.99
METTUR,0.0069,0.0113,0.01,0.9999,99.99
Manimuthar,0.0045,0.0056,0.0,0.9997,100.0
Papanasam (TN EB Dam),0.0065,0.0102,0.01,0.9985,99.99
Parambikulam,0.0007,0.0011,0.0,0.9995,100.0
Pechiparai,0.0009,0.0011,0.0,0.9999,100.0
Periyar**,0.0111,0.0151,0.01,0.9957,99.99
Perunchani,0.0018,0.0026,0.0,0.9999,100.0
Sathanur,0.0016,0.0035,0.0,0.9998,100.0
Sholayar,0.4301,0.8403,0.35,-0.0119,99.65
Thirumurthy,0.0267,0.0399,0.05,0.9998,99.95
Vaigai,0.0278,0.0445,0.05,0.9994,99.95
