reservoir_name,mae,rmse,mape_percent,r2_score,model_accuracy_percent
AMARAVATHI*,0.0105,0.0135,0.01,0.9983,99.99
Aliyar,0.004,0.006,0.0,0.9973,100.0
BHAVANISAGAR,0.0052,0.0067,0.01,0.9998,99.99
Harangi,0.3469,0.6109,0.35,0.417,99.65
Hemavathy,0.0267,0.0417,0.03,0.9984,99.97
Kabini,0.0003,0.0005,0.0,1.0,100.0
Krishna Raja Sagar,0.0004,0.0006,0.0,1.0,100.0
Krishnagiri,0.004,0.0055,0.01,0.9998,99.99
METTUR,0.0102,0.0128,0.01,0.9999,99.99
Manimuthar,0.0034,0.0045,0.0,0.9991,100.0
Papanasam (TN EB Dam),0.0024,0.0029,0.0,0.9997,100.0
Parambikulam,0.0013,0.0018,0.0,0.9985,100.0
Pechiparai,0.001,0.0013,0.0,0.9999,100.0
Periyar**,0.0075,0.0103,0.01,0.998,99.99
Perunchani,0.0026,0.0041,0.0,0.9998,100.0
Sathanur,0.0015,0.0035,0.0,0.9998,100.0
Sholayar,0.4954,0.8216,0.4,-0.1813,99.6
Thirumurthy,0.0229,0.0334,0.05,0.9998,99.95
Vaigai,0.0487,0.0586,0.09,0.999,99.91
